Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
05/2015,5/1/2015,6/1/2015,Treasure Data,"Treasure Data,DeNA","Treasure Data,DeNA,Everyleaf","Treasure Data,DeNA,Everyleaf,Mercari","Treasure Data,DeNA,Everyleaf,Mercari","Treasure Data,DeNA,Everyleaf,Mercari","Treasure Data,DeNA,Everyleaf,Mercari","Treasure Data,DeNA,Everyleaf,Mercari","Treasure Data,DeNA,Everyleaf,Mercari","Treasure Data,DeNA,Everyleaf,Mercari","Treasure Data,DeNA,Everyleaf,Mercari","Treasure Data,DeNA,Everyleaf,Mercari","Treasure Data,DeNA,Everyleaf,Mercari","Treasure Data,DeNA,Everyleaf,Mercari","Treasure Data,DeNA,Everyleaf,Mercari"
06/2015,6/1/2015,7/1/2015,Treasure Data,"Treasure Data,Mercari","Treasure Data,Mercari,Y. Hata","Treasure Data,Mercari,Y. Hata,DeNA","Treasure Data,Mercari,Y. Hata,DeNA","Treasure Data,Mercari,Y. Hata,DeNA","Treasure Data,Mercari,Y. Hata,DeNA","Treasure Data,Mercari,Y. Hata,DeNA","Treasure Data,Mercari,Y. Hata,DeNA","Treasure Data,Mercari,Y. Hata,DeNA","Treasure Data,Mercari,Y. Hata,DeNA","Treasure Data,Mercari,Y. Hata,DeNA","Treasure Data,Mercari,Y. Hata,DeNA","Treasure Data,Mercari,Y. Hata,DeNA","Treasure Data,Mercari,Y. Hata,DeNA"
07/2015,7/1/2015,8/1/2015,Treasure Data,"Treasure Data,DeNA","Treasure Data,DeNA","Treasure Data,DeNA","Treasure Data,DeNA","Treasure Data,DeNA","Treasure Data,DeNA","Treasure Data,DeNA","Treasure Data,DeNA","Treasure Data,DeNA","Treasure Data,DeNA","Treasure Data,DeNA","Treasure Data,DeNA","Treasure Data,DeNA","Treasure Data,DeNA"
08/2015,8/1/2015,9/1/2015,Treasure Data,"Treasure Data,Livesense","Treasure Data,Livesense,Y. Hata","Treasure Data,Livesense,Y. Hata,DeNA","Treasure Data,Livesense,Y. Hata,DeNA","Treasure Data,Livesense,Y. Hata,DeNA","Treasure Data,Livesense,Y. Hata,DeNA","Treasure Data,Livesense,Y. Hata,DeNA","Treasure Data,Livesense,Y. Hata,DeNA","Treasure Data,Livesense,Y. Hata,DeNA","Treasure Data,Livesense,Y. Hata,DeNA","Treasure Data,Livesense,Y. Hata,DeNA","Treasure Data,Livesense,Y. Hata,DeNA","Treasure Data,Livesense,Y. Hata,DeNA","Treasure Data,Livesense,Y. Hata,DeNA"
09/2015,9/1/2015,10/1/2015,Treasure Data,"Treasure Data,Mercari","Treasure Data,Mercari,DeNA","Treasure Data,Mercari,DeNA","Treasure Data,Mercari,DeNA","Treasure Data,Mercari,DeNA","Treasure Data,Mercari,DeNA","Treasure Data,Mercari,DeNA","Treasure Data,Mercari,DeNA","Treasure Data,Mercari,DeNA","Treasure Data,Mercari,DeNA","Treasure Data,Mercari,DeNA","Treasure Data,Mercari,DeNA","Treasure Data,Mercari,DeNA","Treasure Data,Mercari,DeNA"
10/2015,10/1/2015,11/1/2015,Treasure Data,"Treasure Data,Mercari","Treasure Data,Mercari,ClearCode","Treasure Data,Mercari,ClearCode,DeNA","Treasure Data,Mercari,ClearCode,DeNA","Treasure Data,Mercari,ClearCode,DeNA","Treasure Data,Mercari,ClearCode,DeNA","Treasure Data,Mercari,ClearCode,DeNA","Treasure Data,Mercari,ClearCode,DeNA","Treasure Data,Mercari,ClearCode,DeNA","Treasure Data,Mercari,ClearCode,DeNA","Treasure Data,Mercari,ClearCode,DeNA","Treasure Data,Mercari,ClearCode,DeNA","Treasure Data,Mercari,ClearCode,DeNA","Treasure Data,Mercari,ClearCode,DeNA"
11/2015,11/1/2015,12/1/2015,Treasure Data,"Treasure Data,DeNA","Treasure Data,DeNA,ClearCode","Treasure Data,DeNA,ClearCode,Livesense","Treasure Data,DeNA,ClearCode,Livesense","Treasure Data,DeNA,ClearCode,Livesense","Treasure Data,DeNA,ClearCode,Livesense","Treasure Data,DeNA,ClearCode,Livesense","Treasure Data,DeNA,ClearCode,Livesense","Treasure Data,DeNA,ClearCode,Livesense","Treasure Data,DeNA,ClearCode,Livesense","Treasure Data,DeNA,ClearCode,Livesense","Treasure Data,DeNA,ClearCode,Livesense","Treasure Data,DeNA,ClearCode,Livesense","Treasure Data,DeNA,ClearCode,Livesense"
12/2015,12/1/2015,1/1/2016,Treasure Data,"Treasure Data,Livesense","Treasure Data,Livesense,DeNA","Treasure Data,Livesense,DeNA,ClearCode","Treasure Data,Livesense,DeNA,ClearCode","Treasure Data,Livesense,DeNA,ClearCode","Treasure Data,Livesense,DeNA,ClearCode","Treasure Data,Livesense,DeNA,ClearCode","Treasure Data,Livesense,DeNA,ClearCode","Treasure Data,Livesense,DeNA,ClearCode","Treasure Data,Livesense,DeNA,ClearCode","Treasure Data,Livesense,DeNA,ClearCode","Treasure Data,Livesense,DeNA,ClearCode","Treasure Data,Livesense,DeNA,ClearCode","Treasure Data,Livesense,DeNA,ClearCode"
01/2016,1/1/2016,2/1/2016,Treasure Data,"Treasure Data,ClearCode","Treasure Data,ClearCode,DeNA","Treasure Data,ClearCode,DeNA,Livesense","Treasure Data,ClearCode,DeNA,Livesense","Treasure Data,ClearCode,DeNA,Livesense","Treasure Data,ClearCode,DeNA,Livesense","Treasure Data,ClearCode,DeNA,Livesense","Treasure Data,ClearCode,DeNA,Livesense","Treasure Data,ClearCode,DeNA,Livesense","Treasure Data,ClearCode,DeNA,Livesense","Treasure Data,ClearCode,DeNA,Livesense","Treasure Data,ClearCode,DeNA,Livesense","Treasure Data,ClearCode,DeNA,Livesense","Treasure Data,ClearCode,DeNA,Livesense"
02/2016,2/1/2016,3/1/2016,Treasure Data,"Treasure Data,ClearCode","Treasure Data,ClearCode","Treasure Data,ClearCode","Treasure Data,ClearCode","Treasure Data,ClearCode","Treasure Data,ClearCode","Treasure Data,ClearCode","Treasure Data,ClearCode","Treasure Data,ClearCode","Treasure Data,ClearCode","Treasure Data,ClearCode","Treasure Data,ClearCode","Treasure Data,ClearCode","Treasure Data,ClearCode"
