ord,f,t,rel
2028,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-09-01
2029,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2016-10-01
2030,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2016-11-01
2031,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2016-12-01
2032,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-01-01
2033,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-02-01
2034,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-03-01
2035,2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-04-01
2036,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-05-01
2037,2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-06-01
2038,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-07-01
2039,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-08-01
2040,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-09-01
2041,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-10-01
2042,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2017-11-01
2043,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2017-12-01
2044,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-01-01
2045,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-02-01
2046,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-03-01
2047,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-04-01
3001,2014-04-01T00:00:00Z,2014-07-01T00:00:00Z,Quarter from 2014-04
3004,2014-07-01T00:00:00Z,2014-10-01T00:00:00Z,Quarter from 2014-07
3007,2014-10-01T00:00:00Z,2015-01-01T00:00:00Z,Quarter from 2014-10
3010,2015-01-01T00:00:00Z,2015-04-01T00:00:00Z,Quarter from 2015-01
3013,2015-04-01T00:00:00Z,2015-07-01T00:00:00Z,Quarter from 2015-04
3016,2015-07-01T00:00:00Z,2015-10-01T00:00:00Z,Quarter from 2015-07
3019,2015-10-01T00:00:00Z,2016-01-01T00:00:00Z,Quarter from 2015-10
3022,2016-01-01T00:00:00Z,2016-04-01T00:00:00Z,Quarter from 2016-01
3025,2016-04-01T00:00:00Z,2016-07-01T00:00:00Z,Quarter from 2016-04
3028,2016-07-01T00:00:00Z,2016-10-01T00:00:00Z,Quarter from 2016-07
3031,2016-10-01T00:00:00Z,2017-01-01T00:00:00Z,Quarter from 2016-10
3034,2017-01-01T00:00:00Z,2017-04-01T00:00:00Z,Quarter from 2017-01
3037,2017-04-01T00:00:00Z,2017-07-01T00:00:00Z,Quarter from 2017-04
3040,2017-07-01T00:00:00Z,2017-10-01T00:00:00Z,Quarter from 2017-07
3043,2017-10-01T00:00:00Z,2018-01-01T00:00:00Z,Quarter from 2017-10
3046,2018-01-01T00:00:00Z,2018-04-01T00:00:00Z,Quarter from 2018-01
