date_from,date_to,release,n_top_contributing_coms 1,n_top_contributing_coms 2,n_top_contributing_coms 3,n_top_contributing_coms 5,n_top_contributing_coms 10,n_top_contributing_coms 15,n_top_contributing_coms 20,n_top_contributing_coms 25,n_top_contributing_coms 30,n_top_contributing_coms 50,n_top_contributing_coms 100,n_top_contributing_coms 200,n_top_contributing_coms 500,n_top_contributing_coms 1000,top_contributions_perc 1,top_contributions_perc 2,top_contributions_perc 3,top_contributions_perc 5,top_contributions_perc 10,top_contributions_perc 15,top_contributions_perc 20,top_contributions_perc 25,top_contributions_perc 30,top_contributions_perc 50,top_contributions_perc 100,top_contributions_perc 200,top_contributions_perc 500,top_contributions_perc 1000
2014-12-06T00:00:00Z,2015-01-06T00:00:00Z,2014-12-06,1,1,1,3,5,5,5,5,5,5,5,5,5,5,42.4000000000000000,61.6000000000000000,80.0000000000000000,96.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2015-01-06T00:00:00Z,2015-02-06T00:00:00Z,2015-01-06,1,1,1,3,7,7,8,11,11,11,11,11,11,11,41.2076271186440678,65.6779661016949153,82.7330508474576271,95.3389830508474576,97.9872881355932203,98.8347457627118644,99.3644067796610169,99.8940677966101695,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2015-02-06T00:00:00Z,2015-03-06T00:00:00Z,2015-02-06,1,1,2,3,6,9,11,12,16,21,21,21,21,21,38.0891719745222930,61.6560509554140127,74.1401273885350318,85.8598726114649682,92.9936305732484076,95.2866242038216561,96.5605095541401274,97.8343949044585987,98.4713375796178344,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2015-03-06T00:00:00Z,2015-04-06T00:00:00Z,2015-03-06,1,1,1,3,7,8,13,16,19,20,20,20,20,20,48.9260143198090692,73.2696897374701671,78.9976133651551313,85.9188544152744630,92.3627684964200477,95.7040572792362768,97.3747016706443914,98.5680190930787589,99.7613365155131265,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2015-04-06T00:00:00Z,2015-05-06T00:00:00Z,2015-04-06,1,1,1,2,7,8,11,15,16,23,23,23,23,23,21.9672131147540984,40.3278688524590164,51.8032786885245902,72.1311475409836066,90.3278688524590164,92.4590163934426230,94.0983606557377049,95.7377049180327869,96.8852459016393443,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2015-05-06T00:00:00Z,2015-06-06T00:00:00Z,2015-05-06,1,1,1,2,6,11,14,15,18,25,25,25,25,25,36.7469879518072289,65.7630522088353414,77.0080321285140562,85.9437751004016064,92.7710843373493976,95.0803212851405622,96.2851405622489960,97.2891566265060241,97.8915662650602410,99.8995983935742972,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2015-06-06T00:00:00Z,2015-07-06T00:00:00Z,2015-06-06,1,1,2,3,7,11,12,13,15,23,23,23,23,23,33.9877300613496933,64.5398773006134969,72.5153374233128834,82.8220858895705521,92.1472392638036810,94.4785276073619632,95.9509202453987730,97.1779141104294479,97.7914110429447853,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2015-07-06T00:00:00Z,2015-08-06T00:00:00Z,2015-07-06,1,1,1,3,8,11,14,14,16,25,30,30,30,30,29.9835255354200988,45.1400329489291598,57.3311367380560132,69.6869851729818781,81.3838550247116969,86.4909390444810544,90.1153212520593081,92.5864909390444811,94.2339373970345964,98.8467874794069193,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2015-08-06T00:00:00Z,2015-09-06T00:00:00Z,2015-08-06,1,2,2,4,7,7,9,12,14,22,30,30,30,30,30.1190476190476190,49.7619047619047619,67.7380952380952381,81.9047619047619048,87.1428571428571429,89.7619047619047619,91.6666666666666667,92.9761904761904762,94.1666666666666667,97.7380952380952381,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2015-09-06T00:00:00Z,2015-10-06T00:00:00Z,2015-09-06,1,1,2,3,5,10,14,18,21,26,32,32,32,32,30.3171641791044776,53.5447761194029851,69.0298507462686567,80.7835820895522388,89.1791044776119403,91.0447761194029851,92.4440298507462687,93.3768656716417910,94.3097014925373134,97.5746268656716418,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2015-10-06T00:00:00Z,2015-11-06T00:00:00Z,2015-10-06,1,2,2,4,7,8,10,14,16,22,37,37,37,37,21.7270194986072423,41.0863509749303621,60.0278551532033426,76.7409470752089136,82.4512534818941504,85.3760445682451253,87.4651810584958217,88.9972144846796657,90.3899721448467967,94.9860724233983287,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2015-11-06T00:00:00Z,2015-12-06T00:00:00Z,2015-11-06,1,2,2,3,8,11,14,17,19,23,32,32,32,32,28.4332688588007737,47.5822050290135397,57.6402321083172147,71.3733075435203095,81.2379110251450677,85.4932301740812379,88.2011605415860735,90.1353965183752418,92.0696324951644101,96.1315280464216634,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2015-12-06T00:00:00Z,2016-01-06T00:00:00Z,2015-12-06,1,2,3,4,7,10,11,14,17,24,24,24,24,24,34.2639593908629442,58.6294416243654822,65.7360406091370558,75.1269035532994924,85.0253807106598985,88.8324873096446701,91.3705583756345178,93.4010152284263959,94.6700507614213198,99.7461928934010152,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-01-06T00:00:00Z,2016-02-06T00:00:00Z,2016-01-06,1,2,2,4,8,9,12,14,15,22,33,33,33,33,21.8934911242603550,40.4733727810650888,54.9112426035502959,73.4911242603550296,85.6804733727810651,88.2840236686390533,90.0591715976331361,91.4792899408284024,92.6627218934911243,95.9763313609467456,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-02-06T00:00:00Z,2016-03-06T00:00:00Z,2016-02-06,1,2,3,4,9,9,11,13,15,23,30,30,30,30,27.0467836257309942,44.8830409356725146,57.0175438596491228,76.6081871345029240,86.6959064327485380,89.1812865497076023,91.2280701754385965,92.6900584795321637,94.1520467836257310,97.5146198830409357,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-03-06T00:00:00Z,2016-04-06T00:00:00Z,2016-03-06,1,2,3,5,8,10,12,14,16,24,31,31,31,31,19.2434210526315789,35.5263157894736842,50.8223684210526316,64.4736842105263158,79.6052631578947368,84.2105263157894737,87.0065789473684211,89.4736842105263158,91.1184210526315789,95.5592105263157895,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-04-06T00:00:00Z,2016-05-06T00:00:00Z,2016-04-06,1,2,3,5,8,10,13,15,16,20,31,31,31,31,21.4285714285714286,35.8121330724070450,46.5753424657534247,65.6555772994129159,84.8336594911937378,87.7690802348336595,89.8238747553816047,91.5851272015655577,92.6614481409001957,95.9882583170254403,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-05-06T00:00:00Z,2016-06-06T00:00:00Z,2016-05-06,1,2,3,5,8,10,13,15,18,23,43,44,44,44,17.0854271356783920,30.4857621440536013,43.0485762144053601,60.1340033500837521,71.3567839195979899,75.0418760469011725,77.8894472361809045,80.4020100502512563,82.4120603015075377,88.7772194304857621,97.1524288107202680,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-06-06T00:00:00Z,2016-07-06T00:00:00Z,2016-06-06,1,2,3,5,7,9,11,12,12,18,40,45,45,45,36.3349131121642970,47.7093206951026856,58.6097946287519747,63.9810426540284360,72.3538704581358610,76.9352290679304897,79.7788309636650869,82.1484992101105845,84.2022116903633491,90.5213270142180095,98.7361769352290679,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-07-06T00:00:00Z,2016-08-06T00:00:00Z,2016-07-06,1,2,3,4,8,9,12,12,14,20,38,39,39,39,19.3288590604026846,37.3154362416107383,51.6778523489932886,67.1140939597315436,79.0604026845637584,82.4161073825503356,84.4295302013422819,85.7718120805369128,87.1140939597315436,92.0805369127516779,98.7919463087248322,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-08-06T00:00:00Z,2016-09-06T00:00:00Z,2016-08-06,1,2,3,4,7,10,12,16,19,24,40,44,44,44,18.3815028901734104,34.4508670520231214,47.1676300578034682,64.9710982658959538,78.2658959537572254,80.8092485549132948,82.5433526011560694,84.2774566473988439,86.0115606936416185,90.9826589595375723,97.4566473988439306,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-09-06T00:00:00Z,2016-10-06T00:00:00Z,2016-09-06,1,2,3,5,8,11,14,16,19,27,36,44,44,44,14.5631067961165049,28.3980582524271845,39.9271844660194175,59.1019417475728155,75.7281553398058252,78.8834951456310680,81.0679611650485437,82.8883495145631068,84.7087378640776699,89.8058252427184466,96.9660194174757282,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-10-06T00:00:00Z,2016-11-06T00:00:00Z,2016-10-06,1,2,2,4,7,10,12,15,18,27,40,48,48,48,24.9011857707509881,41.3702239789196311,51.7786561264822134,65.6126482213438735,76.5480895915678524,79.8418972332015810,81.9499341238471673,83.5309617918313570,84.8484848484848485,90.1185770750988142,97.1014492753623188,100.0000000000000000,100.0000000000000000,100.0000000000000000
