release,top_contributions_perc 1,top_contributions_perc 2,top_contributions_perc 3,top_contributions_perc 5,top_contributions_perc 10,top_contributions_perc 15,top_contributions_perc 20,top_contributions_perc 25,top_contributions_perc 30,top_contributions_perc 50,top_contributions_perc 100,top_contributions_perc 200,top_contributions_perc 500,top_contributions_perc 1000
v1.0.0-beta.3 - v1.0.0,22.4343675417661098,43.4367541766109785,55.1312649164677804,76.3723150357995227,93.5560859188544153,97.1360381861575179,99.0453460620525060,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
v1.0.0 - v1.0.1,28.4037558685446009,44.3661971830985915,55.3990610328638498,70.6572769953051643,84.2723004694835681,89.4366197183098592,92.9577464788732394,95.3051643192488263,96.7136150234741784,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
v1.0.1 - v1.0.2,28.9370078740157480,49.4094488188976378,62.2047244094488189,77.7559055118110236,91.7322834645669291,94.2913385826771654,96.2598425196850394,97.2440944881889764,98.2283464566929134,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
v1.0.2 - v1.0.3,33.7988826815642458,45.1117318435754190,55.0279329608938547,71.7877094972067039,85.7541899441340782,90.2234636871508380,92.4581005586592179,93.9944134078212291,95.3910614525139665,98.4636871508379888,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
v1.0.3 - v1.1.0-rc.1,41.6666666666666667,56.2500000000000000,64.5833333333333333,79.1666666666666667,95.8333333333333333,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
v1.1.0.rc.1 - now,44.6153846153846154,58.4615384615384615,72.3076923076923077,90.7692307692307692,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2015-12-17,46.7391304347826087,64.1304347826086957,68.4782608695652174,76.0869565217391304,89.1304347826086957,96.7391304347826087,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-01-17,66.6666666666666667,94.2857142857142857,97.1428571428571429,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-02-17,76.9230769230769231,84.6153846153846154,88.8888888888888889,95.7264957264957265,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-03-17,53.7634408602150538,67.2043010752688172,75.2688172043010753,82.2580645161290323,89.7849462365591398,95.1612903225806452,98.3870967741935484,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
